
Player,Pos,Squad,90s,Crs,Int,TklW,-9999
Piero Hincapié,DF,Arsenal,19.9,33,26,26,0c7a48f8
Jack Hinshelwood,MF,Brighton,19.3,7,6,13,e98211e7
Ki-Jana Hoever,MFDF,Wolves,4.7,22,5,11,9a71e978
Harry Howell,MF,Brighton,1.0,4,0,0,d8a7e52c
Callum Hudson-Odoi,MF,Nottingham,20.5,91,8,7,15f3ec41
Will Hughes,MF,Crystal Palace,17.5,45,15,16,a0666d3e
Trai Hume,DFMF,Sunderland,33.7,88,25,46,4fa3a3a4
Bashir Humphreys,DFMF,Burnley,17.5,17,11,17,d2b32e91
Omari Hutchinson,MF,Nottingham,18.8,133,11,11,bd9553e6
Igor,DF,West Ham,1.2,0,1,0,a4e85758
Tim Iroegbunam,MF,Everton,16.5,3,22,44,84c5ceea
Andy Irving,MF,West Ham,1.8,12,1,4,b1be9fc0
Alexander Isak,FW,Liverpool,7.8,2,0,6,8e92be30
Wilson Isidor,FW,Sunderland,12.9,0,2,8,a671316d
Alex Iwobi,MF,Fulham,26.9,88,15,18,6ca5ec4b
Daniel James,FWMF,Leeds United,6.2,50,1,5,c931d9f9
Reece James,DFMF,Chelsea,21.8,126,32,33,1265a93a
Vitaly Janelt,MF,Brentford,16.0,61,27,17,8449d35e
Mathias Jensen,MF,Brentford,25.0,124,21,23,0f134faf
Gabriel Jesus,FW,Arsenal,4.8,0,2,0,b66315ae
Igor Jesus,FW,Nottingham,25.5,10,2,16,dbe24cce
Álex Jiménez,DFMF,Bournemouth,25.7,51,27,45,faa13947
Raúl Jiménez,FW,Fulham,24.3,7,7,20,b561db50
Jamaldeen Jimoh,MF,Aston Villa,0.1,0,0,0,1e711234
João Pedro,FWMF,Chelsea,29.6,18,6,17,e8832875
Joelinton,MF,Newcastle,21.7,11,28,23,c17bfb65
John,GK,Nottingham,4.9,0,0,0,33a235af
Brennan Johnson,MFFW,Tottenham,6.8,23,2,9,0cd31129
Brennan Johnson,MFFW,Crystal Palace,12.4,45,2,7,0cd31129
Sam Johnstone,GK,Wolves,12.0,0,0,1,9e5708be
Curtis Jones,MFDF,Liverpool,21.5,16,18,23,4fb9c88f
Eli Junior Kroupi,MFFW,Bournemouth,18.6,10,9,6,b2fe86e5
Hamed Junior Traorè,MF,Bournemouth,0.2,1,0,0,570bb4b9
